,City,Country,Lat,Lng,Date,Max_Temp,Humidity,Cloudiness,Wind_Speed
122,sulangan,PH,11.14,123.72,1564120848,83.11,72,29,5.37
123,san patricio,PY,-26.98,-56.83,1564120849,46.92,97,85,6.38
124,lebedinyy,RU,58.52,125.52,1564120849,68.89,45,98,3.49
125,lianyuan,CN,27.69,111.67,1564120850,92.65,53,1,3.85
126,sabang,PH,13.8,121.11,1564120850,89.01,68,83,7
127,arraial do cabo,BR,-22.97,-42.02,1564120851,68.17,89,2,12.75
128,san quintin,PH,17.54,120.52,1564120851,85.99,69,67,7.09
129,tiksi,RU,71.64,128.87,1564120851,38.47,60,99,15.64
130,nome,US,30.04,-94.42,1564120852,75.2,100,75,2.33
131,haines junction,CA,60.75,-137.51,1564120852,44.41,65,0,5.19
132,pak thong chai,TH,14.73,102.02,1564120852,89.01,58,40,8.05
133,new norfolk,AU,-42.78,147.06,1564120853,54,62,20,11.41
134,port alfred,ZA,-33.59,26.89,1564120853,57,85,1,4
135,hermanus,ZA,-34.42,19.24,1564120853,53.01,93,45,5.01
136,omboue,GA,-1.57,9.26,1564120854,74.82,83,100,11.63
137,vaitupu,,,,,,,,
138,mnogovershinnyy,RU,53.94,139.92,1564120855,50.35,93,100,4.34
139,kjollefjord,NO,70.95,27.35,1564120855,53.6,93,75,2.24
140,oriximina,BR,-1.77,-55.87,1564120855,80.22,68,67,4.21
141,vestmannaeyjar,IS,63.44,-20.27,1564120856,52.87,87,100,9.91
142,shagonar,RU,51.54,92.92,1564120856,68.35,51,100,3.98
143,flinders,AU,-34.58,150.85,1564120856,66,59,0,12.75
144,tateyama,JP,36.66,137.31,1564120857,100.4,35,75,4.7
145,farap,TM,39.18,63.61,1564120857,89.6,22,0,13.87
146,hofn,IS,64.25,-15.21,1564120857,41.52,97,100,7.18
147,nizhnyaya tavda,RU,57.67,66.17,1564120858,73.02,48,11,5.3
148,saskylakh,RU,71.97,114.09,1564120858,48.19,56,97,9.71
149,barentsburg,,,,,,,,
150,torbay,CA,47.66,-52.73,1564120859,55,100,75,3.44
151,palmer,AU,-34.85,139.16,1564120859,62.01,77,20,14.99
152,los llanos de aridane,ES,28.66,-17.92,1564120860,73.4,73,75,14.99
153,dunedin,NZ,-45.87,170.5,1564120705,48.99,84,95,7
154,milingimbi,,,,,,,,
155,payson,US,40.04,-111.73,1564120860,75.99,72,1,6.22
156,yerbogachen,RU,61.28,108.01,1564120861,84.19,27,66,3.98
157,savannah bight,HN,16.45,-85.85,1564120861,82.57,80,22,21.27
158,parry sound,CA,45.34,-80.04,1564120862,63,95,20,8.32
159,saint anthony,US,43.97,-111.68,1564120788,68,32,1,6.93
160,pisco,PE,-13.71,-76.2,1564120862,55.99,87,0,2.24
161,georgetown,GY,6.8,-58.16,1564120825,75.2,100,20,4.7
162,shenjiamen,CN,29.96,122.3,1564120863,86.71,75,58,6.49
163,hue,VN,16.47,107.58,1564120700,96.8,47,40,6.93
164,bayangol,MN,48.91,106.09,1564120864,75.37,52,72,7.72
165,zhigansk,RU,66.77,123.37,1564120864,66.91,36,97,17.65
166,ketchikan,US,55.34,-131.65,1564120864,57.2,93,90,9.17
167,kavaratti,IN,10.57,72.64,1564120865,80.6,88,75,5.82
168,saryshagan,,,,,,,,
169,ponta do sol,BR,-20.63,-46,1564120865,57.91,76,67,4.83
170,karratha,AU,-20.74,116.85,1564120866,87.07,17,0,10.54
171,thompson,CA,55.74,-97.86,1564120748,53.6,93,90,11.41
172,longyearbyen,NO,78.22,15.63,1564120866,48.2,67,0,12.75
173,esperance,AU,-33.86,121.89,1564120867,53.6,58,100,11.41
174,panorama,BR,-21.35,-51.86,1564120867,70.15,62,56,0.51
175,kinango,KE,-4.13,39.32,1564120868,74.47,59,1,13.09
176,callaguip,PH,18.07,120.49,1564120868,86,79,20,9.17
177,pozorice,CZ,49.21,16.79,1564120868,78.01,68,0,3.36
178,laguna,BZ,16.17,-88.94,1564120869,78.8,94,40,2.04
179,tuktoyaktuk,CA,69.44,-133.03,1564120869,50,66,40,24.16
